experiment,l1_ratio,alpha,rmse,mae,r2
1,0.5,0.1,0.6916160667164353,0.5514255755701121,0.22674164790654183
2,0.3,0.9,0.7560021179335797,0.6168237411828587,0.0760669626551217
3,0.4,0.2,0.6985497918269336,0.5594425428570562,0.2111594860739343
